,tokens,label,size
52,"['이', '영화', '에', '대해서', '뭐', '가', '어쩌구', '저쩌구', '하', '는', '놈', '들', '은', '그냥', '관심', '받', '고', '싶', '어', '하', '는', '쓰레기', '들', '이', '다', '영화', '는', '영화', '러', '럼', '봐라', '좋', '은', '영화', '다']",10,35
53,"['울', '엇', '어', '융', 'ㅠㅠㅠ', '원래', '진짜', '안', '우', '는', '뎈ㅋㅋ큐ㅠㅠㅠ']",10,11
54,"['눈물', '을', '짜내', '려고', '하', '는', '건가', '캐릭터', '를', '너무', '비', '현실', '적', '에게', '만들', '어서', '몰입', '할', '수', '가', '없', '다', '아임', '앰', '샘', '레인', '맨', '의', '아류', '작']",5,30
55,"['이건', '진짜', '꼭', '봐야', '함']",10,5
56,"['감성', '팔', '이', '영화', '인', '것', '같', '다', '현실', '성', '이', '떨어지', '면', '감동', '도', '그', '만큼', '절감', '되', '는', '것', '같', '다']",3,23
57,"['어떻게', '이', '영화', '가', '만', '관객', '을', '앞두', '고', '있', '는지', '이해', '가', '안', '갑니다', 'ㅋㅋㅋ', 'ㅋㅋ', 'ㅋㅋ']",3,18
58,"['이', '이상', '드릴', '수', '는', '없', '습니다', 'ㅎ']",8,8
59,"['아무리', '높', '은', '직급', '이', '라도', '무고', '한', '사람', '을', '감정', '으로', '사형', '시키', '는', '것', '은', '억지', '스럽', '다', '라고', '본다', '그리고', '너무', '감정', '적', '으로', '몰입', '하', '게', '되', '어서', '억지', '눈물', '을', '흘리', '게끔', '만들', '고', '내용']",10,40
60,"['완벽', '해']",10,2
61,"['아따', '재미', '따']",10,3
62,"['재', '밋', '음']",9,3
63,"['딱', '우리', '나라', '드라마', '수준', '이', '다', '코메디', '인', '줄', '속', '아서', '보', '았', '다', '보', '고', '나', '서', '도', '괜히', '봤', '단', '생각', '이', '들', '었', '다', '어', '거지', '설정', '에', '뻔한', '드라마', '의', '공식', '대로', '만든', '영화', '다']",3,40
64,"['말', '이', '필요', '없', '는', '눈물', '의', '영화']",10,8
65,"['힝', 'ㅜㅜㅜ재밋오']",10,2
66,"['대박', '이', '다', '소리', '내', '서', '운', '것', '도', '처음', '이', '고', '옆', '사람', '한텐', '미안', '햇', '지만', '진짜', '대박', '이', '다']",10,22
67,"['눈물', '이', '멈출', '수', '없', '네요', '아주', '감동', '적', '입니다']",9,10
68,"['진짜', '사람', '이', '면', '눈물', '안', '날', '수', '가', '없', '어요', 'ㅠㅠ대박진짜대박', 'ㅠㅠ와', '정말', '모라', '표현', '할', '수', '없', '는', '영화', '못', '보', '면', '정말', '정말', '정말', '후회', '해요']",10,29
69,"['재', '밋', '다']",10,3
70,"['이', '영화', '진짜', '펑펑', '울음', '점', 'ㅠㅠㅠ이영화별점', '줘도', '모자랄', '판', 'ㅠ', '예승', '이', 'ㅠㅠㅠ류승룡ㅠㅠㅠ내가지금까지본영화중에제일최고임', '번방', '의', '선물', '사랑', '해요']",10,19
71,"['말', '이', '필요', '없', '는', '영화']",10,6
72,"['개봉', '하', '자마자', '보', '러', '갓', '던', '영화', '나', '는', '친구', '랑', '봣지만ㅋㅋ', '가족', '이랑', '함께', '보', '기', '에', '좋', '은', '영화']",10,22
73,"['말', '이', '필요', '업', '음', '대박']",10,6
74,['짱'],10,1
75,['최고'],10,1
76,"['예승', '이', '어뜨케', 'ㅜㅜ']",10,4
77,"['눈물', '없이', '볼', '수', '없', '는', '너무나', '가슴', '벅차', '고', '안타깝', '고', '근데', '간간히', '재밌', '고', '억지', '가', '조금', '은', '있', '더라도', '최고']",10,23
78,"['재밌', '었', '고', '감동', '적', '박신혜', '는', '어딜', '가', '나', '눈물', '연기', '빠지', '지', '않', '음', 'ㅋ']",10,17
79,"['간만에', '돈', '아깝', '지', '않', '은', '영화', '본', '듯']",10,9
80,"['나', '만', '별로', '였', '나', '봄', '성', '폭행', '그거', '진짜', '너무', '억지', '스러움']",3,13
81,"['코미', '인', '줄', '알', '았', '는데', '난', '폭풍', '눈물', '흘렸', '네', '근데', '평', '이', '왜', '이러', '징', '예승', '이', '콩', '먹', '어야', '되', '비타민']",8,24
82,"['솔직히', '웃기', '고', '너무', '슬프', '고', '감동', '적', '인', '영화', '너무', '잘', '봤', '습니다']",10,14
83,"['완존', '짱', '에다', '감동', '이', '크', '다']",10,7
84,"['연기력', '이', '돋보이', '는', '영화']",10,5
85,"['늑대소년', '이후', '최악', '의', '억지', '감동']",1,6
86,"['거품', '영화']",1,2
87,"['존나', '재밌', '다', '설날', '에', '봄']",10,6
88,"['뻔하', '고', '억지', '스러운', '거', '같', '은', '스토리', '도', '배우', '들', '의', '연기', '로', '승화', '해', '낸', '작품']",9,18
89,"['마케팅', '의', '승리']",1,3
90,"['안타깝', '긴', '했', '는데', '너무', '억지', '스럽', '다', '점', '은', '오버', '임']",5,12
91,['감동'],10,1
92,"['별점', '의', '기적']",1,3
93,"['웃', '프', '다']",9,3
94,"['어떤', '영화', '를', '보', '았', '길래', '그렇게', '슬프', '다는', '걸까', '정말', '억지', '스럽', '다', '배우', '들', '연기', '가', '아까운', '그냥', '그런', '영화', '갈소원', '양', '좋', '은', '배우', '됬', '으면', '좋', '겠', '다']",2,32
95,"['슬픈', '스토리', '가', '인상', '적', '인', '영화', '입니다', '정말', '눈물', '뽑', '아', '버릴', '정도', 'ㅠ', 'ㅠ', '스토리', '의', '순서', '자체', '는', '매끄럽', '지', '못해서', '감동', '의', '맥', '이', '살짝살짝', '끊긴', '점', '이', '아쉽', '네요']",8,34
96,"['엄청', '울', '었', '습니다', '재밌', '다가', '도', '슬프', '고', '보', '다가', '순간', '욱', '해서', '화', '도', '났', '고', '안타깝', '기', '도', '했', '고', '처음', '교도소', '부분', '부터', '울컥', '하', '다가', 'ㅋㅋ', '잘', '만들', '었', '네요']",10,35
97,"['ㅠㅠ', '진짜', '재', '밋', '음', 'ㅠㅠ', '영화', '보', '면서', '이렇게', '울', '긴', '또', '처음', 'ㅠㅠ', '배우', '들', '과', '영화', '와', '잘', '맞', '는', '거', '같', '음', 'ㅠㅠ울고웃게만들어준영화ㅠㅠ한번더보러갈꺼임ㅠ']",10,27
98,"['너무', '감동', '적', '이', '었', '어요', 'ㅜㅜ', '재미', '도', '잇', '고', '감동', '도', '있', '구', '백', '만', '넘', '은', '대', '는', '이유', '가', '있', '었', '네요', 'ㅜㅠ이제곧', '천만', '돌파']",10,29
99,"['와', '이', '영화', '사람', '울리', '게', '만드', '네', 'ㅋㅋ', 'ㅋㅋ', '슬픈', '장면', '나올', '때', '남녀노소', '모두', '훌쩍', '배우', '도', '연기', '도', '스토리', '도', '굿', '안', '보', '신', '분', '들', '얼른', '예매', 'ㄱ', 'ㄱ', 'ㄱ']",10,34
100,"['으', '정말', '재미', '조금', '있', '었', '습니다', '다만', '너무', '비', '현실', '적', '인', '데', '다가', '억지', '스러운', '씬', '들', '이', '억지로', '감동', '으', '이끌', '어', '내', '는', '것', '같', '았', '고', '너무', '과대', '평가', '됬', '다는', '생각', '이', '든다']",1,39
101,"['따뜻', '하', '고', '아름다운', '걸작']",10,5
102,"['평점', '보고', '기대', '치가', '높', '아서', '그랬', '나', '그냥', '작정', '하', '고', '슬프', '긴', '슬픈', '데', '슬프', '기', '만', '할', '뿐', '감동', '은', '없', '던데', '스토리', '도', '계속', '끊', '어', '지', '고', '흐음', '무튼', '개인', '적', '으론', '실망', '만', '한']",1,40
103,"['재미', '감동', '두', '마리', '토끼']",10,5
104,"['관심', '병', '인가', 'ㅉㅉ', '좋', '은', '영화', '가지', '고', '욕', '들', '이', '고']",10,13
105,"['정말', '감동', '적', '이', '예요', '최고', 'ㅠㅠ']",10,7
106,"['배우', '는', '좋', '은데', '영화', '는', '별로', '기대', '이하']",1,9
107,"['눈물', '나', '는', '영화', '라고', '알', '고', '갔', '는데', '도', '울', '었', '다', '능', 'ㅠㅠ뻔한', '이야기', '지만', '그래도', '시간', '가', '는', '줄', '모르', '고', '봤', '어요', '과장', '은', '있', '지만', '그래도', '인간', '냄새나', '는', '영화', '에', '요']",7,37
108,"['재밌', '어요']",10,2
109,"['콩', '먹', '어야', '되', '비타민']",10,5
110,"['내', '가', '너무', '기대', '한', '건가', '나', '는', '별로', '다', '보', '는', '내내']",5,13
111,"['스토리', '작가', '는', '배우', '들', '스카웃', '하', '느라', '돈', '다', '써서', '고', '용못', '함', '개연', '성', '이', '왜', '이래', '이딴', '영화', '에', '평점', '주', '는', '한국', '관객', '수준', '참', 'ㅋㅋ']",1,30
112,"['정말', '재밌', '고', '슬픈', '영화', '에', '요', 'ㅠㅠ', '번', '봤', '는데', '첫', '번', '째', '봤', '을', '때', '보다', '두', '번', '째', '봤', '을', '때', '더', '몰입', '해서', '더', '많이', '울', '었', '네요', 'ㅜㅜ']",10,33
113,"['점', '만점', '두', '번', '이나', '봄', '최고', 'ㅠㅠ']",10,8
114,"['내용', '은', '뻔하', '고', '억지', '스러운', '면', '이', '있', '지만', '현실', '적', '이', '자고', '영화', '를', '보', '는', '게', '아니', '기', '때문', '에', 'ㅋㅋㅋ', '진짜', '눈물', '펑펑', '쏟', '으면서', '봤', '어요']",10,31
115,"['완전', '감동', '개봉', '일', '날보고', '지금', '올리', '지만', '아직', '까지', '도', '감동', '이', '넘쳐나', '요']",10,15
116,"['아버지', '들', '을', '위한', '최고', '의', '영화', '다만', '약간', '억지', '스러운', '스토리', '전개', '와', '뻔한', '감동', '패턴', '이', '별', '하나', '를', '깎', '는다']",9,23
117,"['간만에', '펑펑', '울', '었', '어요']",9,5
118,"['진짜', '울', '어서', '눈', '붓', '고', '웃', '다가', '울', '고', '진짜', '하', '년', '최고', '의', '작품', '아역', '도', '연기', '짱', '잘', '하', '고', '특히', '류승룡', '연기', '갑']",10,27
119,"['최고', '의', '감동', '과', '웃음', '을', '경험', '한', '영화', '입니다']",10,10
120,"['슬펐', '어여', 'ㅜㅜ']",10,3
121,"['책', '보단', '조금', '못', '하', '지만', '그래도', '영화', '도', '눈물', '을', '흘리', '며', '보', '았', '습니다', '다만', '하나', '아쉬움', '점', '이', '있', '다면', '류승룡', '이', '란', '배우', '에', '조금', '안', '어울리', '는', '옷', '을', '입힌', '것', '같', '습니다', '물', '런']",9,40
122,"['완전', '대박', '인', '거', '같', '아요', 'ㅠㅠ', '보통', '슬픈', '영화', '라고', '해도', '울', '지', '않', '는데', '진짜', '감동', '적', '이', '고', '재밌', '고', '배우', '들', '도', '연기', '다', '잘', '하', '시', '고', 'ㅠㅠ', '암튼', '너무', '좋', '음']",10,37
123,"['점', '을', '왜', '이리', '들', '남발', '하', '는', '건가', '만점', '이', '라는', '건', '아무런', '하자', '가', '없', '는', '완벽', '한', '영화', '라는', '거', '참', '나']",1,25
124,"['말', '이', '필요', '없', '죠', '점', '은', '기본', 'ㅠㅠ', '상당히', '감동', '적', '인', '영화', '였', '습니다', '한번', '보', '면', '후회', '하', '진', '않', '을', '영화', '에', '요']",10,27
125,"['연기', '는', '최고', '였', '지만', '의도', '된', '눈물', '이', '아쉬운', '남자', '판', '하모니', '랄까']",6,14
126,"['예승', '이', '콩', '먹', '어', '콩', '비타민', 'ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ']",10,8
127,"['내용', '전개', '가', '어느', '정도', '예상', '됨', '에', '도', '불구', '하', '고', '명연', '기자', '들', '의', '연기', '로', '인해', '점', '충분히', '받', '을', '만', '함']",10,25
128,"['살', '면서', '눈물', '쏟', '으며', '본', '영화', '가', '그다지', '많', '지', '않', '았', '는데', '번방', '의', '선물', '이', '영화', '볼', '때', '도', '눈물', '엄청', '흘리', '며', '봤', '어요', '관객', '들', '을', '웃기', '고', '울리', '는', '이', '영화', '너무', '좋', '아요']",10,40
129,"['정말', '최고', '의', '영화', '에', '요', 'ㅠㅠ']",10,7
130,['ㅋ'],1,1
131,"['류승룡', '아저씨', '연기', '완전', '잘', '해요', '펑펑', '울', '었', '어요']",10,10
132,"['너무', '감동', '적', '이', '에요']",10,5
133,"['저', '정도', '연기', '의', '배우', '들', '이', '라면', '감동', '을', '강요', '하', '지', '않', '아도', '충분히', '감동', '적', '이', '었', '을', '것', '을']",6,23
134,"['영화관', '에서', '펑펑', '운건', '처음', '아네요', '정말', '류승룡', '찐', '연기', '정말', '연기', '잘', '하', '시', '네요', 'ㅠㅠ', '진짜', '울', '다', '실신', '할', '뻔', '햇', '어요', '나와서', '도', '울', '었', '어요']",10,30
135,"['정말', '최고', '의', '영화', '네요', 'ㅜ']",10,6
136,"['오늘', '온', '가족', '이', '보', '러', '갔', '다', '왔', '습니다', '오랜만', '에', '제대로', '된', '영화', '봤', '네요', '고마워요']",10,18
137,"['덕분', '에', '설', '명절', '가족', '모두', '훈훈', '한', '추억', '을', '만들', '수', '있', '었', '어요', '또', '보', '고', '싶', '어요', '최고']",10,21
138,"['완성도', '를', '떠나', '점', '을', '주', '고', '싶', '다', '삐딱', '하', '고', '복잡', '하', '게', '보', '고', '있', '는', '척', '하', '는', '기자', '들', '평점', '은', '애당초', '신경', '쓸', '필요', '없', '음', '세상', '이', '용구', '만큼', '이나', '따뜻', '해', '지']",10,40
139,['최고'],10,1
140,"['진짜', '대박', '이', '였', '다', '어떤', '언니', '는', '완전', '딱', '꾹', '질', '하', '면서', '엄마', '가', '달래', '주', '고', '있', '드라', '와', '평점', '준분', '신고', '하', '고', '싶', '은', '기분', '완전', '슬퍼', '실제', '이야기', '같', '어']",10,36
141,"['진짜', '재미', '따', '아아아아아', '아아아아아', '아아아아아', '아아', '아앙']",10,8
142,"['류승룡', '을', '비롯', '한', '배우', '들', '이', '연기', '를', '정말', '훌륭', '하', '게', '하', '셔서', '영화', '가', '빛났', '던', '것', '같', '아요', '다만', '스토리', '가', '하모니', '랑', '비슷', '한', '부분', '도', '좀', '있', '었', '고', '전체', '적', '인', '흐름', '에서']",8,40
143,"['기자', '들', '뭐', '지', '이', '재미', '있', '는', '영화', '를', '남자', '사용', '설명서', '앞', '에', '십', '분', '보', '고', '열받', '고', '나와서', '다시', '예매', '하', '고', '이', '영화', '받', '는데', '눈물', '이', '퐁퐁', '남자', '사용', '설명서', '환불', '해', '줘']",10,39
144,"['점', '도', '아깝', '지', '않', '은', '영화', '참', '좋', '은', '영화']",10,11
145,"['아', '영화', '보', '면서', '처음', '울', '어', '봤', '네요', '만', '넘', '어', '버려라']",10,13
146,"['예승', '이', '예뻐', '밖', '에', '생각', '이', 'ㅎㅎ', '농담', '이', '구', '사알짝', '연출', '하', '는', '그런', '게', '보여서', '마무리', '는', '덜', '감동', '이', '었', '지만', '그래도', '배우', '들', '의', '열연', '이', '돋보이', '네요', '재밌', '었', '습니다']",9,36
147,"['난', '왜', '감정', '이', '입', '이', '될', '수', '없', '는', '걸까', '너무', '비', '현실', '적', '이', '다', '아이', '엠', '샘', '을', '보', '고', '봐라']",2,24
148,"['아', '예승', '앓', '이']",10,4
149,"['완전', '좋', '게', '봤', '어요', '처음', '으로', '극장', '에서', '돈', '주', '고', '본', '게', '안', '아깝', '다는', '생각', '을', '했', '구요', '정말', '강추', '영화', '를', '엄청', '많이', '봤', '는데', '영화', '보고', '운건', '이', '게', '처음', '이', '에요', '감동']",10,38
150,"['이건', '진심', '배우', '들', '의', '연기', '가', '가장', '빛났', '다', '와', '진짜', '감동', '적', '이', '였', '고', '진짜', '웃겼', '다', '정말', '번방', '만', '명', '돌파', '가', '아깝', '지', '않', '다', '별점', '이', '점', '까지', '밖에', '없', '다는', '게', '아쉬울', '따름']",10,40
151,"['너무', '감동', '받', '았', '습니다', '배우', '들', '연기', '도', '영화', '에', '더', '집중', '할', '수', '있', '게', '너무', '잘', '해', '주', '었', '습니다']",10,23
152,"['진짜', '보', '고', '엄청', '울', '었', '어요', 'ㅠㅠ', '또', '보', '라', '그래도', '또', '볼', '수', '있', '을', '것', '같', '은', '영화']",10,21
153,['감동'],10,1
154,['짱'],10,1
155,"['재', '밋', '는', '장면', '도', '많이', '잇', '구', 'ㅋㅋ', '슬픈', '장면', '도', '고루', '게', '잇', '는', '힐링', '이', '되', '는', '영화', '랄까', 'ㅋㅋ', '근데', '울', '정도', '는', '아님', 'ㅋㅋ']",10,29
156,"['그냥', '그냥', '진짜', '웃', '고', '울', '고', '하', '는', '짱', '인', '영화', 'ㅠㅠㅠㅠ이거안보면평생후회할듯', '정진영', '도짱', '이', '고', '예승', '이', '도짱', '이', '고', '용구', '도', '짱', '이', '고', '번방', '조연', '들', '도', '짱', '이', '고', 'ㅠㅠㅠ']",10,35
157,"['진짜', '절대', '감동', '이', '에요']",10,5
158,"['와', '진짜', '이', '영화', '는', '돈', '이', '안', '아까운', '영화', 'ㅜ', '너무', '재밌', '어요', 'ㅠㅠ']",10,15
159,"['감동', '감동']",9,2
160,"['감동', '도', '있', '고', '재미', '도', '있', '는', '영화', '다']",10,10
161,"['너무', '작위', '적', '이', '라는', '생각', '이', '들', '지만', '류승룡', '씨', '가', '나왔', '다는', '점', '하나', '로', '점']",8,18
162,"['여태', '까지', '봣던', '영화', '중', '에서', '제일', '재', '밋', '고', '감동', '적', '인', '웃', '픈', '영화']",10,16
163,"['굳', '굳', '굳']",10,3
164,"['감동', '적', '이', '기', '도', '하', '고', '슬프', '기', '도', '하', '고', '연기자', '들', '모두', '연기', '도', '잘', '하', '시', '고', '힐링', '이', '되', '던', '영화']",10,26
165,"['설명', '이', '필요', '없', '음']",10,5
166,"['슬프', '고', '재밌', '어요']",10,4
167,"['한국', '영화', '가', '대세', '다']",10,5
168,"['음', '진짜로', '이런', '일', '이', '있', '을', '수', '도', '있', '지', '않', '을까', '하', '고', '생각', '한다', '하모니', '도', '그렇', '고', '암튼', '슬프', '다']",10,24
169,['ㅠㅠㅠㅠㅠ'],10,1
170,['굳'],10,1
171,"['짱', '입니다', 'ㅠㅠ']",10,3
172,"['개', '잼']",10,2
173,"['아빠', '와', '의', '추억', '이', '많', '아서', '그런가', '나', '는', '정말', '꺼이꺼이', '울', '었', '는데']",10,15
174,"['개연', '성', '부족', '하', '고', '반전', '도', '없', '는', '뻔', '한', '스토리', '와', '억지', '감동', '에서', '드러나', '는', '영화', '의', '부족', '함', '을', '이건', '영화', '니까', '괜찮', '다는', '말', '로', '포장', '할', '수', '있', '을까', '싶', '음', '개그', '도', '비판']",6,40
175,"['슬픈', '건', '슬프', '긴', '한데', '울', '정도', '는', '아님', 'ㅋㅋㅋ', 'ㅋㅋㅋ', 'ㅋㅋㅋ', 'ㅋㅋㅋ', 'ㅋㅋㅋ']",10,14
176,"['영화', '가', '이', '정도', '는', '되', '야', '점', '이', '징']",10,10
177,"['진짜', '재밌', '긴', '진짜', '재밌', '음', 'ㅋㅋㅋ', 'ㅋㅋㅋ', 'ㅋㅋㅋ', '근데', '슬픈', '건', '슬프', '긴', '한데', '울', '정도', '는', '아님', 'ㅋㅋㅋ', 'ㅋㅋㅋ', 'ㅋㅋㅋ', 'ㅋㅋㅋ', 'ㅋㅋㅋ']",7,24
178,"['이거', '보고', '완전', '서럽', '게', '울', '었', '네요', '흑흑흑흑', '이거', '보', '면서', '아빠', '가', '생각나', '더군요', '그래서', '더', '몰입', '했', '던', '거', '같', '아요', '정말', '어떤', '면', '에서', '든', '빠질', '게', '없', '어요', '평점', '이', '최고', '가', '점', '이', '라는']",10,40
179,"['울', '고', '또', '울', '고', 'ㅜㅜ감성터짐ㅜ쵝오오']",10,6
180,"['너무', '슬퍼요', 'ㅠㅡㅠ']",10,3
181,"['슬프', '긴', '정말', '겁나', '슬픈', '데', '울', '정도', '까진', '아닌', '듯', '잼', '있', '긴', '겁나', '잼', '있', '음', 'ㅋㅋㅋ', 'ㅋㅋㅋ']",10,20
182,"['재밌', '어요']",10,2
183,"['그냥', '완전', '재', '밋', '는', '영화']",10,6
184,"['레전드', '감동', '영화', 'ㅠㅠㅠㅠㅠ여태살면서본영화중', '젤', '감동', '재', '밋', '엇', '음']",10,10
185,"['웃', '다', '울', '다', 'ㅠㅠㅠ']",10,5
186,"['감동', 'ㅠㅠ']",10,2
187,['ㅋㅋ'],10,1
188,"['그냥', '죽', '기', '전', '에', '보', '세요']",10,7
189,"['그냥', '굿']",10,2
190,"['와', '방금', '보', '고', '나왔', '는데', '보', '는', '내내', '류승룡', '이랑', '아역', '이랑', '연기', '하', '는', '데', '가슴', '이', '먹먹해', '지', '고', '얼마나', '슬픈지', '마지막', '사형', '당하', '기', '전', '에', '살', '려', '주', '세요', '라고', '하', '는', '데', '흐르', '는']",10,40
191,"['재미', '와', '감동', '을', '동시', '에']",10,6
